username,is_fake,account_age_days,followers,following,posts_count,avg_likes,avg_comments,avg_shares,has_profile_pic,has_bio,has_location,verified,has_website,has_pinned_posts,followers_following_ratio,engagement_rate,suspicious_username,low_activity,high_follower_ratio,low_engagement,created_date
xaji0y6dpbhs,0,861,166,209,43,11.429297513687878,0.0,0.0,1,0,0,0,0,0,0.7942583732057417,0.06885118984149324,0,0,0,0,2023-03-23
ahxthv3,0,1500,157,203,44,34.25554523595355,14.041825551176295,3.865594573647093,1,1,1,0,0,0,0.7733990147783252,0.3322481870113181,0,0,0,0,2021-06-22
a3zmf8,0,1412,164,196,55,31.78298186747368,26.24808073017634,3.3174302011510504,1,1,1,0,0,1,0.8367346938775511,0.37407617560244555,0,0,0,0,2021-09-18
mdd4v30t9nt3w,0,493,146,209,52,44.62656674021114,10.298276108952498,3.205610812935647,1,0,0,0,1,0,0.6985645933014354,0.3981537922061595,0,0,0,0,2024-03-25
5uzbikcidkw,0,503,152,209,45,10.77686360874034,7.663139523911436,0.0,1,1,1,0,1,0,0.7272727272727273,0.12131581008323536,0,0,0,0,2024-03-15
nnhj7xvg0,0,1924,128,214,59,15.787905627098702,15.974897068398212,2.8777664697741634,1,1,1,0,1,0,0.5981308411214953,0.2706294466036803,0,0,0,0,2020-04-24
fn9xuy41ibljh,0,1401,147,181,65,48.29278851815795,6.396622502654711,3.2877519536138218,1,1,0,0,1,0,0.8121546961325967,0.3944024692137856,0,0,0,0,2021-09-29
75lxo6qji,0,1137,123,223,41,18.88331126350749,14.142582516120164,5.759665163433871,1,0,1,0,0,1,0.5515695067264574,0.3153297475045652,0,0,0,0,2022-06-20
ujv6oh,0,884,143,207,50,4.065444294108428,8.788739445081452,0.0,1,1,0,0,1,0,0.6908212560386473,0.0898893967775516,0,0,0,0,2023-02-28
9sdbdw,0,473,163,201,39,43.24901607526309,7.079062353987388,5.909114358886551,1,1,0,0,0,0,0.8109452736318408,0.3450134526879573,0,0,0,0,2024-04-14
user5499,1,131,4011,191,3,0.0,0.0,1.0672294989764441,1,1,1,0,0,0,5.319371727748691,0.0010504227352130355,1,1,0,1,2025-03-22
ye511mkfaz,0,1694,145,207,44,34.37620754319948,16.838790201588424,3.9838714063556444,1,1,1,0,0,1,0.7004830917874396,0.38068185621478307,0,0,0,0,2020-12-10
z81sdw4sh,0,1070,152,192,45,0.0,0.0,0.0,1,1,1,0,0,0,0.7916666666666666,0.0,0,0,0,1,2022-08-26
nf877,0,1128,147,205,43,40.84404242219887,0.5524408178030606,1.361325857680571,1,1,1,0,1,0,0.7170731707317073,0.2908694496440986,0,0,0,0,2022-06-29
vren93iiuc0,0,1824,140,192,46,38.155979497049586,3.7901122760621666,0.1273922045476512,1,1,0,1,1,0,0.7291666666666666,0.3005248855547101,0,0,0,0,2020-08-02
39tex8fsv871yz,0,370,129,208,42,0.6317583029572589,7.5421362594969485,0.0,1,1,0,0,1,0,0.6201923076923077,0.0633635237399551,0,0,0,0,2024-07-26
oyn6qicatva,0,1296,152,181,39,30.486385727899837,9.799173069688047,0.0,1,1,1,0,1,0,0.8397790055248618,0.26503657103676237,0,0,0,0,2022-01-12
spam861,1,100,231,11,105,0.0,0.0,0.7913161169279816,1,0,0,0,0,0,93.81818181818181,0.0007667791830697497,1,0,1,1,2025-04-22
